Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
alessia-beige,Alessia Beige,"<span data-mce-fragment=""1"">Alessia Beige order your sample prior to purchasing your customised ottoman bed.</span>",Ottoman Beds,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Textiles > Fabric,swatch,Order Swatches,TRUE,Title,Default Title,,,,,,0,shopify,50,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/Alessia-Beige.jpg?v=1695045860,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
safina-chesterfield-ottoman-bed,Safina Chesterfield Ottoman Bed,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><br></p>
<ul data-mce-fragment=""1""></ul>",Ottoman Beds,Furniture > Beds & Accessories > Beds & Bed Frames,,"chesterfield, Chesterfield Bed Collection, curve",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,515,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_ELD_Front.jpg?v=1694903209,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_ELD_LHS_Open.jpg?v=1694903212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_ELD_RHS.jpg?v=1694903211,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_HeadOnly_Front.jpg?v=1694903211,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_HeadOnly_LHS.jpg?v=1694903211,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_SLD_Front.jpg?v=1694903210,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_SLD_LHS.jpg?v=1694903210,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safina-chesterfield-ottoman-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P6_F1_LSV2_H18_54_NW_SLD_LHS_Open.jpg?v=1694903212,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,Storage Bed Chesterfield,,Ottoman Beds,Furniture > Beds & Accessories > Beds & Bed Frames,,"chesterfield, Chesterfield Bed Collection, Panel Design Headboard",TRUE,Title,Default Title,,,,,,0,shopify,50,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_54_ELS_Front.jpg?v=1694896042,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
